stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,0,0,0,0,0,0,0.85,0,0.56,47.91,3.1,0.56,0,0,0.56,0,0
21Day,0,0,0.74,0.37,1.11,0,0,0,0,0.37,0,0,0.37,0.37,22.57,1.48,0.37,1.85,0.37,0.37,0.37,0.37
3Month,0,0,0.1,0,0,0,0,0.31,0,0,0.21,0.1,0.1,0,0.21,0,0,0,0.52,0,0,0
22Month,0,0.41,1.23,0,0,0.41,0.27,3.83,0.14,0,0.14,0,0.27,0.68,0.14,0,0,0.14,2.19,0,0,0
