stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,1,1,9,0,0,2,60,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0.56,0,0,29.88,10.99,0.28,0.56,2.25,0,0.28,0,0,0,0
21Day,0.37,0,0.74,1.48,0,0,0.37,0,0,0,0.37,0,4.81,0,0.74,18.87,2.22,0,0.74,1.85,0,1.11,0.74,0,0,1.85
3Month,0,0,0.1,0,0.1,0,0.62,0,0,0.21,0,0,0,0.1,0,0,0,0,0,0,0.42,0,0,0.1,1.66,0
22Month,0,0.14,0.68,0,0,0.27,2.46,0.14,0.27,0.27,0,0.27,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0
