stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,10,17,0,3,0,0,0,0,0,0,0,0
72hpf,7.33,0.56,0,0.85,0.56,0,0,0,0,0,0,0,0,0,0.56,1.41,57.22,0,7.05,0,32.41,3.95,2.82,34.95,0,0,0.56,0,0,0,0,0
21Day,4.81,0.37,0.74,2.59,1.85,0,0,0,0,0.37,2.59,0,0,0,1.11,3.7,70.3,0,38.11,0,22.2,2.96,5.55,14.43,2.22,0,0.37,0.37,0.74,0,0,0.37
3Month,0,0.1,0,0.83,0,0.1,0,0.31,0,1.04,1.35,0,0.1,0.21,0.31,0.94,15.81,4.58,0.31,0.1,0.1,0,1.04,0.83,0,0.1,0,0,0,0.21,0.1,0
22Month,0,0.55,0,0.55,0,0,0.14,0.27,0.14,2.6,0.27,0.14,0.14,0,0,5.47,26.1,0.55,0,0,0.41,0,1.23,0.27,0,0,0,0,0,0.14,0,0.27
