stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,7.61,0,0,0,0,0,0,0,0,0,0,0,3.38,0.85,0.28,0,0,0,1.13,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,13.69,2.59,0,0,0,0,0,0,0,0,1.11,0,0,7.77,4.44,0.37,0,0.74,0,1.11,0,0,0,0,0.37,0.74,0,0,2.22
3Month,0,0.1,0.21,13.63,0,0,0.1,6.55,2.18,0.1,0,2.29,0.62,0,7.28,0.52,6.45,5.3,0.1,0.31,0.1,4.06,0.21,0.1,0.1,0,0.1,0.31,1.14,0.1,0.1,4.68
22Month,0,0.55,0.68,3.69,0,0.14,0,1.78,14.35,0.27,0,5.19,0.82,0.27,6.7,0,0.68,10.11,0.41,0,0.27,0.27,0,0.41,0,0.68,0,0,0.68,0,0,1.37
