stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,12,0,0,0,0,10,732,0,0,0,1,0,0,1,0,0,1,0,0
72hpf,10.43,1.13,0,4.51,0.28,4.23,0,0,0,0.28,0.28,0,0,0,0.56,0,5.07,9.02,1.69,29.31,0,8.46,0.56,0.28,302.7,224.35,3.38,1.13,0,27.34,3.66,0,61.72,0,0.85,3.1,0,0
21Day,4.81,0.37,0,3.7,0.74,2.22,0,0.74,0,0.37,0,0,1.48,0.37,0.74,0.74,0.37,1.48,1.11,44.03,0,0,1.85,0.37,85.84,51.8,1.85,0.74,0,9.62,4.07,0.37,18.5,1.11,0.74,1.48,0,0
3Month,0,0.31,0.1,4.89,0.1,0,0,0,0.21,0.52,1.14,0,4.26,1.35,0.1,1.04,1.56,2.08,2.91,8.01,0.52,0,1.04,2.6,1.66,0.83,11.23,0,0,0.21,0.94,5.62,0.62,0,0,0.31,0.31,2.29
22Month,0,0.27,0.14,5.06,0,0,0.41,0.14,0,1.5,0.82,0.82,12.3,0.68,0.14,1.64,0.14,0.68,1.64,8.75,0.82,0.68,0.55,0,3.01,0.82,7.93,0.27,0.41,0.14,0.14,6.56,0.55,0.27,0,0.27,0,1.23
