stage,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Macrophage,Neural_cell,T_cell
24hpf,0,0,0,1,0,0
72hpf,3.1,0,0,0,0,0
21Day,4.07,1.48,0.37,0,0.37,0.37
