stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.85,0,0,0,19.17,1.13,0,0,0,0,1.13,0
21Day,0,1.11,1.11,0,0,0,0,0,0.74,0.37,0,0.37,0.74,0,0.37,0,15.54,2.22,0.37,0.37,0.37,0,0.74,0.74
3Month,0.1,0.73,0,0.1,0.21,0,0.94,0,0.1,0.52,0,0.1,0.21,0,0,0.21,0,0,0,0,0,0.1,0,0.1
22Month,0,0.14,0,0,0.14,0.14,2.6,0.14,0,0.14,0,0,0.27,0.14,0.14,0,0,0,0,0,0,0.27,0,0
