stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,1.41,0,0,0,1.13,0,0,0,1.41,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0.28
21Day,5.92,0.37,0,1.11,0,2.96,0,1.11,0,6.66,0,0.74,0,32.93,1.48,0,0.74,10.73,0.74,0,0,0,0,2.59,1.11,0,0,0.74,2.96,0,0.37,0.37,0.74,0,0,58.83
3Month,0.1,1.14,0.1,5.93,0.21,0,1.35,0.1,1.04,69.9,0,6.35,81.13,5.1,1.87,0.62,1.66,28.5,3.43,0.83,0,1.04,0.94,0.31,0,0.21,0.42,0,1.66,0.21,3.22,0.1,0,1.04,1.98,143.34
22Month,0.14,0.41,0.14,1.5,0.14,0,1.37,0,0.27,119.16,0.14,7.11,28.56,5.6,0.68,0,0.41,27.74,1.37,0,0.41,0.27,0,0,0.14,0,0.55,0.14,0.68,0,1.78,0.27,0,0.27,0,56.44
