stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,32,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,4.23,0.85,0.56,0,0,0,0,0,0,0,0,0,5.36,0.56,0,0.28,0,0.28,0,0.85,6.48,10.15,0,0,0,1.41,0,0,5.07,0.28,0,0,0
21Day,0.37,0,4.44,1.85,0.74,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0.37,2.59,1.11,0,0.37,0,0,0.37,0.74,0.37,0.37,0,0,0
3Month,0.42,0.52,23.82,1.77,0,0.1,0.21,0.1,6.97,1.46,5.41,1.25,0.31,2.5,7.18,1.77,0.42,1.14,0.1,0,0.42,0.83,2.81,0.21,0.52,0.31,0,0.1,0.73,22.78,0.31,0.31,0.83,195.76,1.14
22Month,0.27,0,7.65,0.41,0,0,0,0,1.09,0.41,2.19,0.14,0,0.68,0.41,0,0.27,0.27,0,0.27,0.14,0,0.82,0.27,0,0,0.14,0,0,16.67,0,0,0,1.09,0
