stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,35,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0.85,1.41,0,0,0,0,0,0,0,1.13,2.25,0.85,2.25,0.28,0,15.22,10.71,0,3.95,0.56,1.13,0,0.28,0,0
21Day,2.96,0,8.14,1.48,1.48,0.37,0,0.74,0.74,4.44,1.48,1.48,4.81,1.48,6.29,0,0.37,5.92,11.47,0.37,1.48,0.74,0.74,1.11,0.74,0,1.48
3Month,0,0,0.21,0,0,0,0.1,1.56,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0,0.14,0,0,0,0.14,4.24,0,0.14,0.14,0,0,0.14,0,0.55,0,0,0,0,0,0,0,0,0,0,0
