stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,3,0,0,0,0,0,11,0,0,0,3,4,2,5,0,0,2,40,2,0,0,0,0,1,0,0
72hpf,0.28,0,0.28,0.28,0.85,0,0,0,0,0,0,0,0,0.85,0,0.56,0,0,3.38,4.51,0.56,0,0,0.28,0,0.28,0,0
21Day,0.37,0,1.48,0,10.73,3.7,0,0,0,0.37,0,0,0,0.37,0.74,0,0,0.37,1.48,4.44,0,1.48,0,0,0.37,0.37,0,0.37
3Month,0,0,0.21,0,0,0,0.1,0.1,0,6.87,0.1,0.52,0.1,0.1,0.1,0.42,0,0,0,0.21,0,0.42,1.46,0,0,0,0.21,0.21
22Month,0,0,0.14,0,0,0,0,0.27,0,2.73,0,0.68,0.14,0,0,0,0.14,0.14,0.14,0,0,0,0.27,0,0,0,0,0
