stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,0.56,0,0,0,0,0.85,0.28,0,0,0,0
21Day,0,0,2.22,0.37,0.37,0,0,0,0.74,0,0.37,0.37,0,0,0.37,0.74,0.37,0,0.37,0
3Month,0,0.1,0.52,0,0,0.1,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0.1
22Month,0,0,0,0,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0
