stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,1.41,2.25,0,16.91,0,0.85,0,26.49,2.54,0,0,1.13,0,0,0,0,4.51,0,0,0
21Day,0,0,0,10.73,0,1.48,0,0.37,0,0,0,0,0,0,0.37,1.11,0,32.93,0.37,6.66,0,2.59,0,1.48,1.11,0,0,0.74,1.11,0,1.48,1.48,1.48,0,0,0.37
3Month,0,0.31,0,39.21,0.1,0,0.73,0,0.1,0.21,0.52,0,2.29,0.62,0,2.5,2.08,21.12,0.94,6.87,0,3.33,0.31,0.42,0.1,0.1,0,0.1,0.1,1.04,0.21,0,1.46,0.31,2.5,0.83
22Month,0,0.27,0.27,7.52,0,0,0.27,0,0,0.14,0.82,0.14,6.83,0.14,0,1.09,0.68,2.19,0.55,3.28,0.27,1.23,0,0.41,0,0.14,0.14,0,0.14,0.55,5.6,0,0.14,0.14,0,0.14
