stage,Cardiomyocyte,Endothelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.85,0,0,0,0,0.85,0,0.85,0,0,46.79,10.15,0.28,0.28,0.28,0,0,0.85,0.56
21Day,0,0,0.37,0,0,0.37,0.37,0,0,1.48,0,0,16.65,4.07,0,0,0,1.11,0,0.37,0
3Month,0,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0
22Month,0.14,0,0,0.14,0.96,0.14,0,0,0.14,0.41,0.14,0,0,0,0,0,0,0,0.55,0.14,0
