stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,162,2,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,0,0.56,1.41,0,0,0,0,0,0,0,0,0,0.28,1.97,0,3.38,0,0,89.63,29.03,1.13,11.56,3.38,0,0.56,16.63,0.28,0.28,0.28,0,0
21Day,0.74,0.37,0,3.33,0,3.7,0,0,0,0.37,0,0.37,0,0.37,0,0,0.37,0.74,7.77,0,0.74,83.62,10.36,1.85,15.17,1.48,2.22,1.85,3.33,0.37,0.74,0.74,0,0.74
3Month,0,0,0.21,2.5,0,0,0.1,0,0.62,0.52,0,1.87,0.52,0,0.21,0.1,0.1,0.62,0.83,0.21,0.62,2.29,0.73,1.98,20.28,0.1,0.1,7.8,0.21,0,0,0.1,0.83,0.31
22Month,0,0.27,0.14,2.05,0,0,0,0.14,0.27,0.82,0.41,5.74,0,0,0.27,0.14,0,0.27,0.96,0.14,0.14,1.37,0.41,2.32,9.57,0.27,0,5.6,0.14,0,0,0,0,0.14
