stage,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
72hpf,0,0,0,0,0.28,0,0
21Day,0.74,0.37,0,2.22,0,0.37,0
22Month,0,0,1.91,0,0,0,0.14
