stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,1,3,5,0,0,0,0,1,23,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.69,34.67,0.85,0,0,0,0,0,0,0,0,0,0,0.28,7.61,0,4.23,0,0.28,0,0,12.97,9.3,1.97,0,1.97,0.28,0,3.1,0,0,0,0
21Day,0.74,0.37,0.37,4.07,25.53,1.11,0,1.48,0,0,0,0,0,0,1.11,0.37,0.37,5.92,1.11,3.7,0,0.37,0,0.37,2.96,2.96,1.11,0.37,1.85,0.74,2.59,1.85,0.37,0,0,0
3Month,0.1,0.1,0,6.03,6.76,0,0.31,0.21,0.21,0.52,0.1,0,3.85,0.52,0.31,2.08,0.83,2.91,1.46,3.33,1.35,0,0.31,0.1,0.42,0.31,1.46,0.21,0.1,0.52,25.69,0.1,0,0.21,11.03,0.31
22Month,0,0.27,0,0.96,2.6,0,0.14,0,0,3.01,1.5,0,8.75,1.09,1.37,0.96,0.14,0.96,2.05,1.37,0,0.55,0,0,0.41,0,0.68,0.14,0,0,6.83,0.14,0,0.14,0,0.27
