stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0.28,0,0.28,0,0,0,0,0
21Day,0,1.85,0.37,0.37,0,0,0,0,0,0,0.37,4.07,0,0,0,0.37,0,0.37,0,0.37,0,0,0
3Month,0.1,4.58,0,0.1,0.1,0.21,0.62,0.1,0.1,1.87,0.1,0.1,0.31,0.1,0.1,0,0,0,0.52,0,0.1,0.1,0.42
22Month,0,0.55,0,0,0.27,0,1.09,0,0,0.82,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0
