stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,5,87,0,2,0,0,0,0,0,0,0
72hpf,0.56,0.85,1.13,0.28,0.28,0.28,0,0.28,0,0,0,0,0.56,0.56,0,2.54,0,0,0,12.68,11.84,0.28,1.13,0,0,0.56,0,0.56,0,0
21Day,1.85,0,4.07,0,2.59,1.48,0,0,0,0.74,0,2.22,0.37,2.59,0.37,7.03,0,1.11,0,2.22,5.18,0.37,0.37,1.11,0,1.48,1.11,0.37,0,0.37
3Month,0.1,0.1,0.31,0,0,0,0.31,0.21,0,1.98,0,0,0,0,0.21,0,0,0.1,0.1,0,0,0,0,0.1,0.52,0,0,0.1,0.1,0.21
22Month,0,0.41,0.68,0,0,0.14,0.14,0.41,0.68,2.73,0.14,0.14,0,0.14,0.27,0.41,0.27,0.14,0,0,0,0,0,0,0,0,0,0.14,0,0
