stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,3,0,0,0,4,0,0,0,0,1,0,4,0,19,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0.28,0.56,0,1.69,1.41,3.1,0,0.28,0.28,0.28,0,0
21Day,0.37,0.37,0.37,0.37,2.96,0.74,0,0,0.74,0,0,0,0,0.74,0,0,0.37,0,0,0,0,0.37
3Month,0,0,0.1,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.31,0,0.21,0
22Month,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0
