stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,1.13,0.56,0,0,0,1.97,0,0,7.61,3.38,1.41,0,0,0.28,0,0,0,1.41,0,0,0,0,0
21Day,0.37,0.37,0.37,9.62,0.74,0,0,0,0,0,0,6.66,0,0.74,0,1.85,0.74,0.37,1.11,0,0,0.37,0,1.85,1.85,1.11,0,0,1.85,0,0,0,0,0,0.37,0,0,0.74
3Month,0.1,1.35,2.18,56.48,0,2.5,0.42,0,8.01,5.72,0,902.97,7.59,0.94,16.02,2.39,24.76,3.22,6.66,1.77,0.73,3.22,1.14,0.94,0.1,24.34,1.14,0,0.62,11.23,0.1,2.7,0.42,0.1,0,2.81,1.46,4.06
22Month,0.55,1.09,1.37,23.91,0,2.73,0.27,0.14,3.42,4.51,1.37,1132.82,1.64,0.82,5.6,0.55,2.6,3.69,3.96,0.14,31.7,1.5,0,0.55,0,15.99,1.64,1.09,0.27,2.32,0,0.96,0.68,1.09,0,0,0,2.19
