stage,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cell,Retinal_cone_cell
24hpf,1,0,0,2,0,0,0,0
72hpf,0,0,7.05,1.97,0,0.28,0.28,0
21Day,0,0,3.33,0,0.37,0,0.37,0.37
3Month,0.31,0.1,0,0,0,0,0,0
22Month,0,0.27,0,0,0,0,0,0
