stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,14.43,0.37,0,0.37,0,0,0.37,0.37,0.37,7.4
3Month,0,0.1,0,0.1,0,0.1,0.1,0.21,0.1,0,0.21,0.1,0,0,0,2.29
22Month,0,0,0,0,0.41,0.14,0,0.14,0,0,0,0,0,0,0,0.14
