stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,1.48
3Month,0,0,0,0.42,0.21,0,0.1,0.1,0.21,0.1,0.21,0.1,0.31,0,0,0,0.1,0.1,13.52
22Month,0.14,0.41,0.14,0,0.14,1.5,0,0,0.14,0,0,0.14,0.41,0.14,0,0.14,0,0,9.29
