stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2,4,0,16,0,0,0,0,0,0,0
72hpf,1.13,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.56,0,34.1,0,0,0.28,0,6.76,1.97,0,36.92,0,0,0.28,0,0.28,0,0
21Day,2.96,0,0,0,0.74,0.37,0,0.37,0,0.74,0.37,0,0,0,35.52,0,0.37,1.11,0,2.59,0.74,2.59,11.84,0.74,0,0.37,0.37,0,0,2.22
3Month,0,0.31,0.62,0,0,0,0.31,0.62,0.42,0.1,0.83,0.31,0.31,0.21,15.29,1.14,0.1,0.1,0.31,0.1,0,4.47,0.21,0.1,0.1,0,0,0,0.21,2.81
22Month,0,0,0.55,0,0,0,0.27,1.91,0,0,0,0,0.27,0,4.51,0,0,0.14,0,0,0,0.41,0,0,0,0,0,0,0,0.55
