stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,1.41,3.1,0,0.28,0,0,5.36,0,0,0,0
21Day,0,0,0.74,0,0.74,0.74,0,0,0,0,0,0,0.37,1.11,0,0.37,0,2.59,0,0,0.37,0.74,0.74,0.37,0,0,0,0,2.59,0,0,0,0
3Month,0,0.31,0.83,13.83,0.83,0,0.1,0.31,1.04,0,2.6,1.56,0.1,4.37,2.08,0.94,0.31,2.08,0.31,0,0.73,95.38,0,0,0.21,0.42,0.73,0.31,0.21,0,0.62,2.39,1.04
22Month,0,0,0.96,5.06,0.27,0,0,0,0.14,0.27,3.96,0,0,5.06,0.14,0.14,0.14,0.82,0,0.14,0.41,7.24,0.14,0,0,0,0,0.14,0.14,0.27,0,0,0.27
