stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,1,70,0,0,1,0,0,0,0,1,0,0,0
72hpf,1.13,0,0,0,0,0,0,0,0,0,0.28,0,1.97,0.56,0,5.64,0,0.28,0,9.86,20.57,0,0,3.66,0,0,1.97,0,0.28,0,0,0
21Day,1.85,1.11,0.74,0.37,0,0,0,0,0.37,0,1.48,0,0.37,0,0,2.22,0,0,0,2.22,5.55,0,0,0.37,0.37,0.37,0.74,0.37,0,0,0,0
3Month,0,1.87,0,0.42,0.73,0.21,0,0,0.31,0.31,0.31,1.87,0,0.52,0.42,0.73,0.21,0.94,0.31,0.21,0.21,0.1,0,0,0.1,18.93,0.1,0,0,0.21,1.35,0.73
22Month,0,0,0,0,0.14,0,0.14,0,0.82,0,0.14,0.27,0,0.14,0,0.27,0,0,0,0,0,0,0.14,0,0,0.55,0,0,0,0.14,0,0
