stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.97,1.97,0.28,0.28,0,0
21Day,0,0,0.74,0,0,0,0,0,0.37,0,0.37,0,1.85,1.48,0,0.37,0,0
3Month,0,0.1,0,0,0,0.42,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1
22Month,0.14,0,0,0.14,0.27,4.24,0.14,0.41,0,0.55,0.55,0.14,0,0,0.27,0,0,0.41
