stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0
21Day,0.37,0,0,2.96,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,1.11,0,0,0,0,0,0,0,0
3Month,0.1,0.21,0.31,45.98,0.42,0,1.66,0.62,0,1.77,0.94,21.01,0.21,6.35,1.04,0.73,0.1,0,0.1,0.21,0.21,0,0.83,0.1,0.1,0.21,0.21,0.62
22Month,0,0.14,0.14,23.09,0.55,0.14,0.27,0.55,0.14,5.33,0.27,10.52,0.14,12.44,0.68,0.27,0,0.27,0.14,0.14,0.14,0.27,0.14,0,0,0,0,0.27
