stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.85,0.28,1.41,0.56,0,0,0.28,0,0,0,1.13,4.79,0,5.36,0,0.28,0,0,5.92,9.58,0,0.28,2.25,0,0,0.28,0.56,0,0,0
21Day,0.37,0.37,3.33,0,8.88,2.22,0,1.11,0,0.37,1.11,1.11,0.37,1.85,2.22,2.22,0,0,0,0,2.59,2.22,0.37,0,1.11,0.37,0,1.11,0.74,0,0,0.74
3Month,0,0,0.42,0.1,0,0,0.1,0.1,0.52,0.42,0,0.83,0,0.52,0.1,0.42,0.1,0,0.21,0.1,0.1,0,0,0,0,0,2.39,0,0,0.1,0.73,0.52
22Month,0,0,0.96,0,0,0,0,0.82,3.01,0.14,0,7.24,0,0.14,1.09,1.64,0.27,0.14,0,0.14,0,0,0,0.14,0.14,0,0,0.14,0,0.14,0,0.27
