stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.28,0,0,0,0.28,0,0,0,0.85,0,0,0.28,1.41,0,0,0,0,0.85,0.85,0,0,0,0,0,0,0.28,0,0,0
21Day,0.37,0.37,0.37,1.11,1.11,0,1.48,4.07,0,0.37,0.37,15.54,0,0,0.74,11.1,0,0,0,0,1.48,1.11,0,0,0.37,0,0,0.37,1.11,0.74,0,18.5
3Month,0.21,0.21,0,4.37,0,0,0,16.85,0.1,1.87,2.6,4.26,1.77,0.1,1.35,7.49,0.73,0,0,0.52,0.1,0,0,0.1,0,0.21,0.83,0.1,0,0,0.21,29.75
22Month,0,0.82,0.41,0.68,0,0.41,0,10.93,0.14,5.19,1.78,2.87,0.68,0,0.27,12.03,0.96,0.27,0.14,0,0,0,0.41,0.14,0.14,0.27,0.68,0,0,0,0,28.7
