stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.56,0,5.64,0,0,1.41,0,0,0,0,1.69,0,0,0,0,0,0,0,0
21Day,1.48,0,0,2.22,0.37,0.37,0,0,0,0,0,4.44,0,0,0,0,0,0.37,4.07,0,0,0.74,0,1.48,0.37,0,0,0,2.59,0.37,0,0,0,0,0,0,0.37
3Month,0,0.1,1.04,8.95,0,0,0.73,0,0.83,1.04,0,280.74,1.25,0,5.2,0.73,4.06,1.14,12.38,0.42,0.1,0.94,0.21,0.1,0,0.21,0.73,0,0,2.91,0.1,1.66,0.21,0,0.62,2.81,1.35
22Month,0.41,1.91,1.5,7.11,0,0,0.96,0.14,1.5,4.1,3.28,1356.11,0.55,0.14,5.06,0.27,2.19,2.6,7.79,0,21.45,0.68,0.14,0.14,0.14,0.27,0.14,2.19,0.27,0.27,0,0.41,0.14,2.05,0.41,0,0.96
