stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,16,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0,0.28,1.41,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,2.22,0.74,0,0,0,0,0,0.37,0,0.74,0.37,1.11,1.48,0,2.22,0,0,0.37,0.37,1.11,0.74,0,0,0.74,0.74,0,0.37,0,0,0,0.37
3Month,0.1,1.14,0.42,3.12,0,0.21,0.1,0.83,0.73,0,17.47,1.56,0.31,4.89,0.83,0.73,0.73,1.04,0.21,0,0.52,0.94,0,0,0.31,0.1,0,0.52,0.31,0,0.1,0.73,0.1,0.62
22Month,0,1.37,0.96,1.5,0,0,0,0.41,0.82,0.96,22.41,0.27,0.27,5.06,0.41,0.82,0.68,1.37,0,0.68,1.09,0,0,0,0.27,0.41,0,0,0,0.27,0,0.14,0,0.27
