stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,36,0,0,0,0,0,1,0,0
72hpf,0.85,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0,0,1.69,3.1,0,0,0,0,0,0.56,0,0
21Day,0,0,0,0.74,0,0,0.37,0,0,0,0.37,0,0,0,0,0,1.48,0,0,1.85,0.37,1.11,0,0.37,0.37,0,0,0
3Month,0.1,0,0.1,0.73,0,0,0,0,0,0.1,0.83,0.1,0.1,0.31,0.31,0.1,0.31,0.1,0,0,0,0.1,0,0,0,0,0.1,0.1
22Month,0,0,0,0.27,0,0.14,0,0.14,0.14,0.14,1.64,0,0.27,0,0,0.14,0,0.14,0,0,0,0,0.14,0,0,0,0,0.14
