stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,20,0,0,0,0,407,112,0,0,17,0,0,0,0,0,35,0,0,0
72hpf,3.38,0.85,0,0.85,0.85,3.38,0,0,0,0.28,0,0,0,0,0,0,0.28,6.48,0.28,9.58,0,0.56,0,0.28,222.38,12.68,0,0,28.47,0,0,4.23,0.28,0,105.41,0,0,0
21Day,1.85,0,0.37,3.33,0,2.59,0,0,0,0,0,0,1.85,0,3.33,0.37,0,3.7,0.37,9.62,0,0,0.74,0,64.75,3.33,0,0,7.4,2.22,0,0.74,0.37,1.11,21.46,0,0,1.48
3Month,0.1,0.62,0.21,2.29,0,0,0.21,0.1,0.31,1.98,0,0,48.78,1.04,0.31,1.77,0.73,1.56,3.22,32.25,19.14,0.21,1.25,0.42,9.67,0.21,0.31,0,0.21,1.04,2.18,0,0.1,0,1.87,0.31,0.94,0.94
22Month,0,0.41,0.27,1.09,0,0,0.41,0,0.27,0.96,0.41,0,96.88,0.41,0.14,0.82,0,0.14,1.5,34.03,2.05,2.73,0.27,0,13.39,0,0,0.14,0.14,0.27,4.1,1.37,0,0,0.14,0,0,0.41
