stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8,2,0,7,1,0,0,0,0,1,0,0,1,5,5,19,0,0,0,11,952,6,0,0,0,1,0,0
72hpf,0.28,0,0,0.85,0.28,0,0,0,0,0,0,0,0,1.41,0,3.1,0,0,0,2.25,2.54,2.25,0,0,0.85,1.41,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.31,0.1,0.52,0,0,0.1,0,0,0.62,0.21,0.42,0,0.1,0.1,0.42,0.1,0,0.1,0,0,0,0.1,0.31,0.1,0,0.1,0.42
22Month,0,0.14,0,0.14,0,0.27,0,0.55,0.14,6.01,0.41,0,0.14,0.14,0.27,0.82,0,0.14,0.14,0.14,0,0,0.14,0.41,0.14,0,0,0.27
