stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.28,0.28,0,0,0,0
21Day,0,1.85,0.37,0,0,0,0,0,0.37,0,1.48,0,0.37,0,0,0,0,0,0,0,0
3Month,0,4.26,0,0,0.62,0.21,1.04,0.62,0,1.87,0.31,0.1,0.42,0.21,0.21,0.1,0,0,0,0.1,0.21
22Month,0.14,0.14,0,0.14,0,0.68,1.23,0.27,0.14,0.27,0,0.14,0.27,0,0,0,0,0.27,0,0,0
