stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0.28,0,0
21Day,0,0,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0
3Month,0,0,0,0,0,0,0,0,0,0.1,0.21,0.21,0,0,0,0,0,0.1,0,0.1
22Month,0,0.27,0.14,0.68,0,0.14,0.14,0.55,0.14,38.81,0,1.5,0.14,0.14,2.19,0,0,0.27,0,0
