stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0
72hpf,0.28,0.56,0,1.41,0,0,0,0,0,0,0,0,0.56,0,1.69,0,5.07,1.69,0,0.85,0.28,0.28,0,0
21Day,0,0,0.37,3.7,0.37,0.37,0,0,0,0.74,0,0.74,0.74,0.37,1.85,0,2.22,1.48,0.37,0.37,0,0,0,0
3Month,0,0.1,0,0.31,0,0,0.1,0,0.42,0,0.31,0.1,0.21,0,0,0.21,0,0,0.1,0,0,0,0.1,0.1
22Month,0,0,0,0,0,0,0,0.14,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
