stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0,0.74,0.37,1.48,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0,0,5.51,0,0.1,0.42,0.31,0,1.25,0.31,0.1,2.18,0.31,0.83,0.1,0.21,0,0.21,0,0,0.21,0.1,0.42,0.1,0.42
22Month,0.41,0.41,1.91,0.27,0,0.68,0.82,0.68,7.24,0.27,0.27,4.78,0,0.68,0.27,0.55,0.14,0,0.14,0,0,0,0.41,0.14,0
