stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,17,0,0,0,0,0,1,0,0,0,0,4,6,21,18,0,0,0,0,6,128,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.69,0.56,0,2.54,1.41,1.41,0,0.28,0,0.56,0,0,0,0,3.38,6.48,1.97,7.61,0,0.28,0,0,23.11,17.19,0.28,0.28,2.82,0.56,0,0.85,0,0.28,0,0,0
21Day,0,0,0.37,4.07,0,0.74,0,1.11,0,0,0,0,1.48,0.37,0.37,1.48,2.59,2.59,0,0,0,0,3.7,1.85,0,0,0,0,1.11,0.74,0.37,0,0,0,1.11
3Month,0.1,0,0.31,2.81,0,0,0.21,0.21,0.62,0.94,2.29,0.62,0.1,1.77,0.73,1.25,1.87,1.14,0.1,0,0.73,0.73,0.31,0.1,0.42,0.1,0.1,0.31,77.91,0.1,0,0,0.1,13,4.37
22Month,0,0,0,0.27,0,0,0,0.14,0,0.14,0.41,0,0,0.14,0,0,0.55,0.14,0,0,0,0,0,0,0,0.14,0,0,10.66,0,0,0,0,0,0
