stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,2,1,0,0,0,0
72hpf,0.28,0,0,0,0.28,0.28,0.56,12.12,0.85,0,0,0,0,0.28
21Day,0,0.37,0,0.37,0,0,0.74,5.55,0,0,0.37,0,0.37,0.37
22Month,0,0,0.82,0.14,0,0.27,0,0.14,0,0,0,0.41,0,0
