stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,1,0,0,0,0,0
72hpf,14.94,0,0,0.28,3.38,0.28,0,0,0
21Day,4.44,0,0,0.37,0,0,0.37,0.37,0
22Month,0,0.55,0.14,0,0,0,0,0,0.14
