stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0.28,0,0.85,0,0,0,12.12,0.28,0.28,0,0.28,0,0,0.28,0.28,0,0
21Day,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0.37,0,0.74,0,8.14,0.37,0,0,0.37,0.37,0,0,0,0,0
3Month,0,0.21,0.1,0.31,0,0.1,0,0.21,0.42,0.1,0.31,0,0.42,0.21,0.94,0.1,0.21,0,0.21,0,0,0,0.83,0,0,0.42,0.1
22Month,0,0,0,0,0,0,0,0,0.27,0,0,0.14,0.14,0,0,0,0.27,0.14,0,0.14,0,0,0.14,0,0,0,0
