stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,8,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.85,1.13,0.85,0,0,0,0,0,0,0,0,1.97,0,2.82,0,0,0,20.86,3.38,0,2.25,0,0,0.56,0,0
21Day,0,0.74,0,5.18,1.85,0.37,0.37,0,0,0,0.37,0.74,0,0.37,1.48,0.37,10.73,0,0.74,0,12.21,0.74,0.74,2.22,0,0,0,0.37,0
3Month,0,0.21,0,0.73,0.1,0,0,0.1,0.1,0,1.35,0,0.21,0,0.31,0,0.52,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.31,0,2.29,0.21
22Month,0,0.14,0.27,0.82,0,0,0,0.14,0,0.14,5.74,0,0.55,0,0,0.41,0.68,0,0.14,0,0,0,0,0,0,0.14,0,0.27,0
