stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,8,5,3,0,1,0,0,0,0,1,1,3,8,5,32,0,0,0,0,18,7,1,0,1,0,0,0,0
72hpf,2.54,4.51,0.28,4.79,0,0.28,0,0,0,0,0,0.28,9.3,0,0.56,0,0,0,0,4.23,2.82,0,0.28,0.28,0,1.97,0,0
21Day,1.48,3.7,2.22,5.55,0.74,0,0,0,0,0,0,0,2.22,3.33,2.59,0,0,0.74,0.37,4.44,0.74,0.37,1.11,0,0,0.74,0.37,0.74
3Month,0.21,0.1,0.42,0.1,0,0,0,0.42,0.1,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0.21,0,0.21,0,0,0
22Month,0,0.14,0,0,0,0,0.27,1.37,0.14,0,0.14,0,0,0.14,0.41,0,0.14,0,0,0,0,0,0,0,0.14,0.14,0,0
