stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0.56,1.13,0.56,0.28,0,0,0,0
21Day,0,2.22,0,0,0,1.11,0.37,0,0.37,0,0,0,0
3Month,0,0.31,0.1,0.21,0.1,0.31,0.1,0,0,0.1,0.1,0.1,2.5
