stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,1,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,1,9,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0.85,2.25,0,2.25,0,0.28,0,2.25,2.25,1.97,0.28,0,0.56,0.28,0,0,0
21Day,0.37,0,1.11,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0.74,0.37,0,0,0,0.37,0.74,0.37,0,0,0,0.37,0,0,0
3Month,0,0,1.46,0,0,0.1,0.21,0.73,0,2.29,0.1,1.14,0.21,0.42,0.21,0.52,0.31,0,0.1,0,0,0,0.1,5.1,0,0,0.1,0.52,0.94
22Month,0,0.27,1.37,0,0,0.14,0,0,0.55,6.97,0.14,1.23,0,0,0.27,0.27,0,0.14,0,0.14,0,0,0,0.27,0.27,0,0,0,0
