stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,1,1,0,0,0,2,0,5,0,0,22,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0.28,0.85,0,1.13,0.28,1.41,4.23,0.56,0,0.56,0,0,0
21Day,0.37,0,1.48,0,0,0.37,0.74,0,3.7,0,0,0.74,0.37,0,0.37,0.37,0,0
3Month,0,0,0.1,0.42,0,0,0.21,0.1,0,0,0,0,0,0.42,0,0,0.1,0.21
