stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0.56,0,0,0,9.58,1.97,0.28,98.65,0,0,0.28,0,0.85,0,0
21Day,0.74,0,0.37,0,1.11,0,0,0.37,0,0.37,0.37,0.37,0.37,0.37,5.92,0,0.37,43.29,0.37,0,0,1.11,0,0,0
3Month,0,0.21,0.62,0,0,0.1,0.21,0.73,0.1,0.1,0.42,0.21,4.68,0.21,0.1,0,0,5.41,0,0.31,0.31,0,0.1,0.21,0.1
22Month,0,0,0.14,0,0,0,0,0.82,0,0.27,0,0,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0,0
