stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,2,2,5,0,0,0,0,0,3,1,6,0,1,0,0,0,38,0,1,0,0,0
72hpf,0.28,0,0.28,0.56,0,0,0.56,0,0.85,0,0.85,0,0.28,0,0,1.69,7.33,0,0.85,0,0.28,0
21Day,0.37,0,0.74,5.18,1.11,0,0,0.37,0,0.37,0.37,0,0,0.37,0,0.74,4.07,0.74,0.74,0.37,0.74,0.74
3Month,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0.42,0,0.1
22Month,0,0,0,0,0,0,0,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0
