stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0.56,0,0,0,0.28,0,0,0,1.69,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0.74,0,1.11,0,0,0,0,1.85,0,0.74,0.74,5.92,0,0.37,0,9.99,0.74,0,0,0,0,0,0,0.37,0,0,1.11,0,0,0.37,0,0.37,0,0,0,1.85
3Month,0.31,6.24,0.1,4.26,0,0.52,0.31,1.04,54.92,0,6.03,108.28,1.25,1.46,0.52,1.66,54.4,2.18,0.42,0.62,0.31,0.42,0,0.1,0.31,0,0.1,0.94,0.1,1.35,0,0,0,0.1,7.8,0.62,6.03
22Month,0.14,7.38,0.27,0.96,0,0.68,0.27,0.14,144.44,0.27,6.97,44.14,1.78,1.5,0.41,0.14,48.65,0.96,0,0.14,0,0,0.14,0.41,0.14,0.27,0,0.14,0,0,0.27,0.55,0.14,0,0.68,0,5.47
