stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,14.66,0.85,0.28,0.28,0,0,0,0,1.13,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0,4.81,0.37,0,0,0,0,0.74,0,0.37,0.37,0,0,0
3Month,0,0.62,5.72,0.21,0.62,0.83,0.1,8.32,1.25,0.31,1.46,0.31,1.98,0.83,1.46,0.31,0,0.1,0.21,0.31,0.1,0.21,0,0,0.21,0.31,4.78,0,0,0.62,0.83,0.83
22Month,0,0.27,0.82,0.14,0.14,0.41,0.14,6.7,0,0.27,1.09,0.27,0.27,0.82,0.82,0,0.27,0,0,0.14,0,0,0,0.14,0.14,0,0.27,0,0,0,0,0.14
