stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,2.25,0,0,1.41,0,0,0,0,0,0,2.25,0,0,8.74,0,1.69,0,0,0.85,0,1.69,1.69,0,0,1.69,0,0,0.28,0,0,0,0
21Day,0.74,0,0,8.51,1.85,0,6.66,0,0,0,0,0,0,9.62,0,0,4.07,0.74,1.85,0,0,0.37,0,1.85,1.48,0,0,0,0.74,0,0,0.74,0,0,7.4
3Month,0.1,0.21,0.21,34.33,0,1.25,1.46,0,0,0.31,0,4.16,1.56,5.2,1.35,0.52,19.24,2.81,1.56,0.21,0,0.21,0.42,0.1,0,0.21,0.21,0,0.73,0.62,0,0,0.83,0.42,44.21
22Month,0.14,2.46,0.27,6.15,0,0.27,0.82,0.14,0.55,2.19,0.55,7.24,0.41,6.97,0.82,0,2.19,4.92,4.24,0.27,0.27,0.96,0,0,0.14,0.27,0,0.14,0,0.41,0.55,0,0.14,0,8.61
