stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.69,0,1.13,0.85,0,0,0,0,0,0,0,0,0.28,0.28,0,1.69,0,0,0,5.64,0.28,0,0,1.41,0,0.28,0,0,0,0,0,0
21Day,0.74,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,2.96,0,0.74,0,1.85,0,0,0.37,0.74,0,0,0,0.37,0,0,0,0
3Month,0,5.1,0.1,1.46,0,0,0.52,0.31,0.1,1.46,0.1,0.1,1.14,0.62,2.18,0,3.95,0.42,0.31,0.1,0.31,0,0.94,0,0.1,1.04,0,0,0,0.21,3.85,2.39,0.31
22Month,0,6.29,0,0.96,0,0,0.14,0.14,0.41,2.19,0,0,0.27,0.14,0.41,0.27,0.96,0,0,0,0,0,0.55,0,0.14,0,0,0.14,0,0,0.14,0,0
