stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,3,0,1,1,0,0,0,0,0,0,1,1,4,15,0,0,0,6,118,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.41,0.28,0,0,0,0,0,0,0.56,1.13,0.28,1.97,0,0,0,6.48,10.71,0.28,0,0.85,0.28,0,0.28,0.28,0,0,0
21Day,0.74,0,0,1.11,1.11,0,0,0.37,0,0.37,0,0,0,0,3.7,0,0,0,1.11,2.59,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.21,0.1,0.73,0,0,0,0.73,0.21,0.1,0.1,0,0.21,0,0,0.1,0,0.1,0,0,0.1,0,0.1,0,0.83,0.1,0,0.1,0.1,0.21
22Month,0,0.14,0.14,0.82,0,0.14,0.27,6.42,0.14,0.68,0.41,0,0.14,0.68,1.5,0.14,0.14,0,0.14,0.14,0.41,0.14,0.27,0,1.64,0.14,0,0,0,0
