stage,Erythrocyte,Goblet_cell,Hepatocyte,Primordial_germ_cell,Spermatocyte
21Day,0.37,0,0,0,0.37
3Month,0,0.1,0.1,1.35,1.56
22Month,0,0,0.27,0,0
