stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0
21Day,0.37,0.37,2.59,0,0,0,0,0,0.37,0,0,1.11,0.74,0.37,0,0,0,0.37,0,0.37
3Month,0,0,1.46,0.42,0.62,0,0.83,3.12,0.1,0.73,0.1,0.1,1.14,0.31,0.1,0.21,0.1,0,0.21,0.62
22Month,0,0,0,0.14,0.55,0.14,0.55,0.41,0.14,0.68,0,0.14,1.64,0.14,0,0,0,0,0,0.14
