stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.69,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0.37,0,0.74,0.37,0,0,0,0,0,0
3Month,0.21,0.1,1.25,0,0.21,0.94,0,0.83,0.21,0,0.62,0.21,0.21,0.31,0.73,0,0,0.1,0,0,0.1,0.1,7.49,0.1,0,0.1,0.31,10.3,0.42
22Month,0.55,0,0.96,0.14,0.14,3.83,0.14,2.87,0.68,0.27,0.41,0,0.41,1.64,0.68,0.14,0.14,0.14,0,0,0.14,0,1.91,0.27,0.14,0,0.14,0.27,0.27
