stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,2,0,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,3.66,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,1.69,0,2.82,0,0,0,1.69,4.51,0,0,0,3.95,0,0,1.41,0,0,0,0,0
21Day,0.74,0.37,0,3.7,0,0.74,0,0,0,0,0,0,0,0,0,0,0,1.48,0.37,3.33,0,0,1.11,1.48,1.48,0.37,1.48,0,3.7,0,0,1.85,0.37,0.37,0.37,0,0
3Month,0,0.94,0.1,6.55,0.1,0,0.21,0,1.14,0.42,0,0,8.11,1.04,0.52,2.5,0.94,3.95,0.83,4.47,0.21,0,0.73,1.56,0.31,0.83,0,0,0,0.52,2.91,0.21,0,0,3.43,0.73,0.42
22Month,0.41,0.96,0.27,3.14,0,0,0,0.14,0.55,0.68,0.96,0,19.81,0.41,0.14,2.6,0.27,0.82,1.09,1.91,0,0.55,0.41,0.55,0.14,0.55,0.27,0.27,0.14,0.14,1.23,0.68,0,0,0.14,0,0.96
