stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.28,0,0,0.56,0,0.28,0,0,0.85,0,0.56,0,0,0.28,0,0,0
21Day,0.37,0.37,0.37,4.44,0,0.74,0,0.37,0,0,0.74,0,0,0,0,1.48,0,0.74,0,0,1.85,0,0,1.48,0,0.37,0,0,0.37,0,0,0,0,0.37
3Month,0,0.62,0.52,24.13,0.1,0,0.73,3.95,0.31,0,71.77,0.52,0.1,6.03,0.31,4.89,0.94,1.87,0.31,0.21,1.66,0.52,0.21,0,0.94,3.85,0,0.1,1.35,1.77,0,4.78,1.35,1.35
22Month,0,0.14,0.68,8.47,0,0,0.27,0.96,0.55,2.32,72.83,0.14,0.14,3.96,0.14,1.37,0.55,0.68,0.14,2.46,0.55,0,0.55,0,0.68,0.82,0.14,0.14,0.14,0.41,0.14,0.14,0,0.14
