stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,1,0,0,0,0,0,0,0,0,2,0,1,4,0,0
72hpf,0,0.28,2.25,0,0,0,0,0,0.56,0,0.28,0,0.28,0,0.28,0
21Day,0,1.11,6.66,0,0,0,0,0,0.37,0,1.11,0,0.37,0.37,1.11,0
3Month,0.1,0.31,0,0.1,0.1,0.73,0,0.1,0.1,0.1,1.77,0.62,0,0,0,0.1
22Month,0,0.14,0,0,0,0.96,0.14,0,0,0,0.14,0,0,0,0,0
