stage,Epithelial_cell,Epithelial_cell__Brain_,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,1
72hpf,0,0.56,0,0,0,0,3.66,0
21Day,0.37,0,0,0.37,0,0.37,4.07,0.74
3Month,0,0,0.1,0,0.21,0,0,0
