stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0
72hpf,0.28,0,0,0,0.28,0.28,0,0.28,0.28,3.95,1.69,0.28,0,0,0.56
21Day,0.37,1.48,0,0,1.11,0,0,2.22,0,0.37,0.37,0.74,0.37,0.74,0
3Month,0,0.21,0,0.1,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.14,0.14,1.64,0.14,0,0.14,0.41,0,0,0,0,0,0,0.27
